study_family,phase,workload,seed_policy,queue_depth,comp_depth,bank_mode,parity_enable,timeout_profile,status,detail,descriptor_throughput,average_completion_latency_cycles,max_completion_latency_cycles,submit_reject_count,completion_occupancy_mean,completion_occupancy_max,completion_full_cycle_fraction,source_conflict_count,destination_conflict_count,maintenance_wait_cycles,maintenance_starvation_incidence,maint_wait_mean,maint_wait_p95,maint_wait_max,invalid_abort_count,recovery_writes,recovery_cycles,throughput_penalty_vs_baseline,synth_cell_count,synth_area_estimate,synth_worst_path_delay,synth_cell_count_delta,synth_area_delta,synth_worst_path_delay_delta,notes,compile_log,run_log
queue_depth_sweep,A,dma_back_to_back,1x_deterministic,1,4,2,1,nominal,PASS,char_dma_back_to_back_clean,0.0082,219,231,0,0.1286,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Back-to-back enqueue attempts every cycle across a fixed 32-descriptor workload.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_d85f5acbd3.compile.log,chiplet_extension/build/characterization_dma_mem/queue_depth_sweep_dma_back_to_back_q1_c4_b2_p1.log
queue_depth_sweep,A,dma_back_to_back,1x_deterministic,2,4,2,1,nominal,PASS,char_dma_back_to_back_clean,0.0082,333,352,0,0.1286,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Back-to-back enqueue attempts every cycle across a fixed 32-descriptor workload.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_c2db50935c.compile.log,chiplet_extension/build/characterization_dma_mem/queue_depth_sweep_dma_back_to_back_q2_c4_b2_p1.log
queue_depth_sweep,A,dma_back_to_back,1x_deterministic,4,4,2,1,nominal,PASS,char_dma_back_to_back_clean,0.0082,546,594,0,0.1234,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Back-to-back enqueue attempts every cycle across a fixed 32-descriptor workload.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_1b38ae467e.compile.log,chiplet_extension/build/characterization_dma_mem/queue_depth_sweep_dma_back_to_back_q4_c4_b2_p1.log
queue_depth_sweep,A,dma_nominal_stream,1x_deterministic,4,4,2,1,nominal,PASS,char_dma_nominal_stream_clean,0.0070,121,121,0,0.0775,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Optional nominal-stream baseline row for queue-depth interpretation.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_1b38ae467e.compile.log,chiplet_extension/build/characterization_dma_mem/queue_depth_sweep_dma_nominal_stream_q4_c4_b2_p1.log
bank_mode_sweep,A,mem_conflict_light,1x_deterministic,4,4,1,1,nominal,PASS,char_mem_conflict_light_clean,0.0081,492,594,0,0.1665,1,0.0000,8,5,13,0.0000,0.0649,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,Maintenance reads are issued every 16 cycles with fixed 50/50 source/destination alternation.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_8a11cea85a.compile.log,chiplet_extension/build/characterization_dma_mem/bank_mode_sweep_mem_conflict_light_q4_c4_b1_p1.log
bank_mode_sweep,A,mem_conflict_heavy,1x_deterministic,4,4,1,1,nominal,PASS,char_mem_conflict_heavy_clean,0.0081,492,594,0,0.1665,1,0.0000,8,5,13,0.0000,0.0649,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,Maintenance reads are issued every 16 cycles with fixed 50/50 source/destination alternation.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_8a11cea85a.compile.log,chiplet_extension/build/characterization_dma_mem/bank_mode_sweep_mem_conflict_heavy_q4_c4_b1_p1.log
bank_mode_sweep,A,mem_conflict_light,1x_deterministic,4,4,2,1,nominal,PASS,char_mem_conflict_light_clean,0.0081,493,593,0,0.1603,1,0.0000,0,1,1,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Maintenance reads are issued every 16 cycles with fixed 50/50 source/destination alternation.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_1b38ae467e.compile.log,chiplet_extension/build/characterization_dma_mem/bank_mode_sweep_mem_conflict_light_q4_c4_b2_p1.log
bank_mode_sweep,A,mem_conflict_heavy,1x_deterministic,4,4,2,1,nominal,PASS,char_mem_conflict_heavy_clean,0.0081,494,594,0,0.1773,1,0.0000,3,2,5,0.0000,0.0128,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,Maintenance reads are issued every 16 cycles with fixed 50/50 source/destination alternation.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_1b38ae467e.compile.log,chiplet_extension/build/characterization_dma_mem/bank_mode_sweep_mem_conflict_heavy_q4_c4_b2_p1.log
parity_cost_sweep,A,dma_nominal_stream,1x_deterministic,4,4,2,0,nominal,PASS,char_dma_nominal_stream_clean,0.0070,121,121,0,0.0775,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Parity on/off preserves interfaces and control flow while removing parity storage/checking internally. Synthesis proxy unavailable in this local Yosys flow; see run log.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_96f7fcfde6.compile.log,chiplet_extension/build/characterization_dma_mem/synth_proxy/parity_0.log
parity_cost_sweep,A,dma_nominal_stream,1x_deterministic,4,4,2,1,nominal,PASS,char_dma_nominal_stream_clean,0.0070,121,121,0,0.0775,1,0.0000,0,0,0,0.0000,0.0000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Parity on/off preserves interfaces and control flow while removing parity storage/checking internally. Synthesis proxy unavailable in this local Yosys flow; see run log.,chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_1b38ae467e.compile.log,chiplet_extension/build/characterization_dma_mem/synth_proxy/parity_1.log
